HJD	Epoch	O-C	O-Cerr	Source
2414760.072	-2955	-0.6354	1.5186	Harvard
2415069.332	-2931	-2.403	0.3441	Harvard
2415703.664	-2882	-3.0869	1.7348	Harvard
2416015.57	-2858	-2.2093	0.5068	Harvard
2416432.187	-2826	-0.2965	1.9033	Harvard
2416781.624	-2799	-0.7663	0.3482	Harvard
2451863.732	-92	-0.0466	0.0931	ASAS
2452161.796	-69	-0.0508	0.0498	ASAS
2452459.9	-46	-0.0156	0.0508	ASAS
2452758.043	-22	0.059	0.0596	ASAS
2453056.053	0	-0.0	0.0278	ASAS
2453354.044	22	-0.0775	0.0295	ASAS
2453652.157	45	-0.0335	0.0633	ASAS
2453976.143	70	-0.0347	0.029	ASAS
2454079.669	78	-0.1851	0.0235	Berdnikov2009
2454274.137	93	-0.1099	0.0421	ASAS
2454429.652	105	-0.1091	0.0243	Berdnikov2009
2454572.366	117	0.0506	0.0678	ASAS
2454870.301	139	-0.0832	0.0269	ASAS
2455855.193	215	-0.114	0.018	Bochum
2456036.546	229	-0.194	0.0189	Berdnikov2019
2456205.059	242	-0.1544	0.0131	Bochum
2456554.884	269	-0.2366	0.0148	Bochum
2457409.987	335	-0.4605	0.0168	ASASSN-V
2457708.048	358	-0.4684	0.023	ASASSN-V
2458006.091	381	-0.4937	0.0175	ASASSN-V
2458290.951	403	-0.7437	0.0324	ASASSN-g
2458304.025	404	-0.6287	0.0619	ASASSN-V
2458589.082	426	-0.6811	0.0327	ASASSN-g
