HJD	Epoch	O-C	O-Cerr	Source
2422405.545	-998	141.4414	0.5078	Harvard
2423446.905	-964	127.5623	0.3801	Harvard
2423777.167	-953	126.1782	0.6182	Harvard
2424110.49	-942	127.8545	0.6448	Harvard
2424436.653	-931	122.3713	0.4088	Harvard
2425184.429	-906	116.4057	0.4271	Harvard
2425514.481	-895	114.8105	0.635	Harvard
2426650.124	-858	104.7663	0.5031	Harvard
2427035.274	-845	97.9702	0.7277	Harvard
2427368.496	-834	99.5458	0.5779	Harvard
2427755.247	-821	94.3515	0.7136	Harvard
2428084.769	-810	92.2271	0.5058	Harvard
2428443.455	-798	89.1168	0.2805	Harvard
2428508.4	-796	90.868	0.2	Vinkó1991 Arch.
2428628.3	-792	90.1693	0.2	Vinkó1991 Arch.
2428686.2	-790	87.7699	0.2	Vinkó1991 Arch.
2428803.156	-786	87.0212	0.3441	Harvard
2429014.2	-779	84.1235	0.2	Vinkó1991 Arch.
2429017.3	-779	87.2235	0.2	Vinkó1991 Arch.
2429191.624	-773	83.5435	0.2755	Harvard
2429550.834	-761	80.958	0.2895	Harvard
2429673.4	-757	80.0306	0.2	Vinkó1991 Arch.
2429674.3	-757	80.9306	0.2	Vinkó1991 Arch.
2429735.2	-755	81.5313	0.2	Vinkó1991 Arch.
2429880.39	-750	78.8672	0.2019	Harvard
2430240.29	-738	76.9715	0.2107	Harvard
2430599.118	-727	74.0024	0.2259	Harvard
2430721.3	-723	72.692	0.2	Vinkó1991 Arch.
2430723.4	-723	74.792	0.2	Vinkó1991 Arch.
2430901.2	-717	71.6939	0.2	Vinkó1991 Arch.
2431048.864	-712	71.5041	0.1044	Harvard
2431080.3	-711	69.8958	0.2	Vinkó1991 Arch.
2431082.3	-711	71.8958	0.2	Vinkó1991 Arch.
2431378.226	-701	69.2188	0.1666	Harvard
2431707.624	-690	66.9706	0.1962	Harvard
2432067.469	-678	65.02	0.2472	Harvard
2432426.722	-666	62.4771	0.2521	Harvard
2432785.042	-654	59.0005	0.6503	Harvard
2432908.4	-650	58.8656	0.2	Vinkó1991 Arch.
2433143.175	-642	55.3372	0.7866	Harvard
2433327.1	-636	55.4701	0.2	Vinkó1991 Arch.
2433622.044	-626	51.8118	0.9242	Harvard
2434013.667	-613	51.4887	0.7098	Harvard
2435137.265	-576	46.5438	0.5609	Mitchell1964
2435214.06	-574	43.0006	0.05	Vinkó1991 Arch.
2435366.1	-569	44.2922	0.2	Vinkó1991 Arch.
2436625.582	-527	37.4878	0.05	Vinkó1991 Arch.
2438994.832	-448	24.9134	0.2	Vinkó1991 Arch.
2441574.583	-363	14.6868	0.7	Madore1975
2441759.999	-356	16.3102	0.05	Vinkó1991 Arch.
2442842.049	-321	12.9719	0.05	Vinkó1991 Arch.
2443951.971	-284	10.2505	0.5958	Coulson1985
2444255.21	-274	9.0981	0.05	Vinkó1991 Arch.
2444523.58	-265	9.0152	0.1624	Coulson1985
2444706.422	-259	8.0649	0.05	Vinkó1991 Arch.
2444886.065	-253	9.7041	0.0302	Moffett1984
2444914.047	-252	7.5366	0.2668	Coulson1985
2444916.905	-252	7.5002	0.05	Vinkó1991 Arch.
2445665.624	-227	5.372	0.1282	Berdnikov2008
2447894.266	-153	2.9375	0.0317	Hipp
2448225.656	-142	2.6811	0.053	Hipp
2448556.96	-131	2.3382	0.0388	Hipp
2448918.336	-119	1.9181	0.0411	Hipp
2449791.443	-90	0.6851	0.218	Berdnikov2008
2450514.929	-66	0.5789	0.1358	Berdnikov2008
2450876.41	-54	0.2631	0.0647	Berdnikov2008
2451237.784	-42	-0.1583	0.0819	Berdnikov2008
2451599.865	-30	0.126	0.0585	Berdnikov2008
2451841.001	-22	0.0648	0.0349	ASAS
2451931.191	-19	-0.1937	0.0802	Berdnikov2008
2452172.742	-11	0.1595	0.0571	ASAS
2452293.156	-7	-0.025	0.0577	Berdnikov2008
2452504.198	0	-0.031	0.0411	ASAS
2452624.857	4	0.0289	0.0522	Berdnikov2008
2452865.991	12	-0.034	0.0357	ASAS
2452956.532	15	0.0576	0.0829	Berdnikov2008
2453257.894	25	-0.0772	0.0485	ASAS
2453619.618	37	-0.1494	0.0327	ASAS
2454072.002	52	-0.0097	0.0416	ASAS
2454403.756	63	0.0974	0.0409	ASAS
2454735.418	74	0.113	0.0477	ASAS
2455097.216	86	0.1152	0.032	ASAS
2456244.121	124	1.3323	0.0421	KWS
2456576.134	135	1.699	0.0316	KWS
2456939.232	147	3.0011	0.0289	Gaia-dr2
2456968.976	148	2.5954	0.0338	KWS
2457271.086	158	3.2081	0.1293	Gaia-dr2
2457300.946	159	2.919	0.047	KWS
2457391.691	162	3.2146	0.0606	ASASSN-V
2457663.294	171	3.4704	0.0336	KWS
2457723.854	173	3.731	0.0435	ASASSN-V
2458055.726	184	3.9571	0.0536	ASASSN-V
2458055.741	184	3.9713	0.03	KWS
2458206.739	189	4.2213	0.0451	ASASSN-g
2458388.172	195	4.7559	0.3313	ASASSN-V
2458418.246	196	4.6803	0.0296	KWS
2458538.655	200	4.4905	0.0464	ASASSN-g
