HJD	Epoch	O-C	O-Cerr	Source
2414872.703	-2156	0.1692	0.2048	Harvard
2415672.113	-2103	0.0547	1.2184	Harvard
2415928.325	-2086	-0.1854	0.4202	Harvard
2416320.5	-2060	-0.23	0.9368	Harvard
2416713.511	-2034	0.5607	0.564	Harvard
2417074.809	-2010	-0.1905	1.2425	Harvard
2417768.114	-1964	-0.8128	0.9421	Harvard
2418536.882	-1913	-1.3989	1.2252	Harvard
2419186.657	-1870	-0.2951	0.6297	Harvard
2419985.94	-1817	-0.5374	0.5681	Harvard
2420754.835	-1766	-0.9968	0.778	Harvard
2421478.658	-1718	-1.2723	0.3597	Harvard
2422564.974	-1646	-1.1035	0.3764	Harvard
2422896.346	-1624	-1.6092	0.3984	Harvard
2423258.892	-1600	-1.113	0.3123	Harvard
2423544.766	-1581	-1.8611	0.6421	Harvard
2423982.688	-1552	-1.415	0.343	Harvard
2424344.499	-1528	-1.6532	0.4731	Harvard
2424721.259	-1503	-2.0278	0.3648	Harvard
2424918.92	-1490	-0.4766	0.4922	Harvard
2425113.938	-1477	-1.5685	0.3701	Harvard
2425400.64	-1458	-1.4884	0.2213	Harvard
2425596.151	-1445	-2.0878	0.3192	Harvard
2425792.689	-1432	-1.6591	0.6047	Harvard
2425988.165	-1419	-2.2936	0.7817	Harvard
2426183.629	-1406	-2.939	0.6653	Harvard
2426501.18	-1385	-2.1817	0.7241	Harvard
2426697.725	-1372	-1.7464	0.2915	Harvard
2426893.584	-1359	-1.9967	0.3478	Harvard
2427285.361	-1333	-2.4397	0.4705	Harvard
2427677.828	-1307	-2.1924	0.3022	Harvard
2427949.393	-1289	-2.1651	0.3317	Harvard
2428341.526	-1263	-2.2518	0.3739	Harvard
2428733.995	-1237	-2.0026	0.3138	Harvard
2429050.102	-1216	-2.6889	0.4938	Harvard
2429246.403	-1203	-2.4976	0.7124	Harvard
2429442.984	-1190	-2.0259	0.3564	Harvard
2429835.081	-1164	-2.1493	0.3292	Harvard
2430076.001	-1148	-2.5947	0.315	Harvard
2430272.245	-1135	-2.4607	0.3558	Harvard
2430543.781	-1117	-2.4617	0.5096	Harvard
2430845.399	-1097	-2.5518	0.3495	Harvard
2431041.666	-1084	-2.3947	0.2918	Harvard
2431237.731	-1071	-2.4398	0.3965	Harvard
2431432.475	-1058	-3.8054	0.987	Harvard
2431645.143	-1044	-2.333	0.2437	Harvard
2431841.247	-1031	-2.3386	0.1822	Harvard
2432037.391	-1018	-2.3049	0.3785	Harvard
2432353.961	-997	-2.5278	0.361	Harvard
2432730.994	-972	-2.6286	0.4228	Harvard
2433093.164	-948	-2.508	0.3532	Harvard
2433305.18	-934	-1.6876	2.0476	Harvard
2433500.781	-921	-2.1964	0.3616	Harvard
2433832.253	-899	-2.6032	0.3519	Harvard
2436819.811	-701	-1.9495	0.1157	Mitchell1964
2440817.513	-436	-1.8739	0.3779	Harvard
2445646.214	-116	-0.4941	0.0957	Berdnikov2008
2447396.612	0	0.0	0.0719	Berdnikov2008
2447909.869	34	0.3536	0.0996	Hipp
2448105.894	47	0.2691	0.0802	Hipp
2448302.082	60	0.3471	0.0778	Hipp
2449614.971	147	0.8079	0.1567	Berdnikov2008
2449931.809	168	0.8529	0.0942	Berdnikov2008
2450309.16	193	1.0701	0.0991	Berdnikov2008
2451305.292	259	1.4669	0.1058	NSVS
2451501.604	272	1.6687	0.1071	NSVS
2452497.414	338	1.9433	0.0492	Schmidt2004
2452648.087	348	1.7625	0.0852	IOMC
2452814.313	359	2.05	0.0287	Schmidt2004
2452980.242	370	2.04	0.077	IOMC
2453236.814	387	2.1599	0.0618	IOMC
2453433.065	400	2.3016	0.0536	IOMC
2453704.666	418	2.3654	0.0675	IOMC
2455198.77	517	3.0164	0.0416	IOMC
2456255.161	587	3.4309	0.0892	KWS
2456481.5	602	3.489	0.1105	KWS
2456889.056	629	3.7403	0.125	KWS
2456994.573	636	3.6594	0.0412	ASASSN-V
2457190.817	649	3.7938	0.0443	ASASSN-V
2457221.086	651	3.8922	0.1501	KWS
2457386.945	662	3.812	0.0238	ASASSN-V
2457583.234	675	3.9906	0.0403	ASASSN-V
2457598.325	676	3.9959	0.1549	KWS
2457870.005	694	4.1396	0.0324	ASASSN-V
2457945.47	699	4.1773	0.133	KWS
2458066.129	707	4.1532	0.0376	ASASSN-V
2458247.228	719	4.2276	0.0421	ASASSN-g
2458277.49	721	4.3198	0.0499	ASASSN-V
2458307.795	723	4.4531	0.1045	KWS
2458443.463	732	4.3529	0.038	ASASSN-g
2458639.657	745	4.4371	0.0554	ASASSN-g
2458685.03	748	4.5542	0.1311	KWS
