HJD	Epoch	O-C	O-Cerr	Source
2415531.897	-3595	1.3422	1.0	Szabados1989 Arch.
2416422.246	-3468	1.0685	1.0	Szabados1989 Arch.
2417228.609	-3353	0.9622	1.0	Szabados1989 Arch.
2417922.83	-3254	0.9182	1.0	Szabados1989 Arch.
2418652.136	-3150	0.8954	1.0	Szabados1989 Arch.
2420152.889	-2936	0.9141	1.0	Szabados1989 Arch.
2420888.857	-2831	0.5406	1.0	Szabados1989 Arch.
2421569.13	-2734	0.5742	1.0	Szabados1989 Arch.
2422501.724	-2601	0.4689	1.0	Szabados1989 Arch.
2423329.154	-2483	0.3912	1.0	Szabados1989 Arch.
2424353.118	-2337	0.4897	1.0	Szabados1989 Arch.
2424514.329	-2314	0.4069	1.0	Szabados1989 Arch.
2425440.009	-2182	0.4003	1.0	Szabados1989 Arch.
2432016.956	-1244	0.2032	0.5533	AAVSO
2432339.673	-1198	0.3321	0.0684	AAVSO
2434842.719	-841	-0.1832	0.0683	Eggen1957
2434871.956	-837	0.1622	1.0	Szabados1989 Arch.
2435222.549	-787	0.1164	1.0	Szabados1989 Arch.
2435250.607	-783	0.1233	1.0	Szabados1989 Arch.
2437051.959	-526	0.0325	0.069	Mitchell1964
2437129.933	-515	0.025	1.0	Szabados1989 Arch.
2439051.428	-241	0.0191	1.0	Szabados1989 Arch.
2440677.564	-9	0.0314	0.0079	Pel1976
2440762.53	3	0.0035	1.0	Szabados1989 Arch.
2442852.333	301	-0.001	1.0	Szabados1989 Arch.
2443244.206	357	-0.0029	0.0203	Moffett1984
2443615.897	410	0.0109	0.0218	Moffett1984
2443658.808	416	0.0046	1.0	Szabados1989 Arch.
2444001.6	465	0.0114	0.0205	Moffett1984
2444437.218	527	-0.0036	1.0	Szabados1989 Arch.
2445544.45	685	0.0496	0.3643	AAVSO
2447963.75	1030	-0.0585	0.0026	Hipp
2448307.382	1079	-0.0518	0.0197	Hipp
2448658.027	1129	-0.0464	0.0059	Hipp
2449064.772	1187	-0.0419	0.1308	AAVSO
2449920.406	1309	0.033	0.0836	AAVSO
2450214.744	1351	-0.166	0.1094	AAVSO
2450299.027	1363	-0.0362	0.0133	Berdnikov2008
2450509.362	1393	-0.0845	0.1258	AAVSO
2450888.092	1447	-0.0441	0.0127	Berdnikov2008
2451217.707	1494	-0.0299	0.122	AAVSO
2451245.752	1498	-0.0357	0.0105	Berdnikov2008
2451617.427	1551	-0.038	0.009	Berdnikov2008
2451659.506	1557	-0.0356	0.0823	AAVSO
2451989.206	1604	0.0637	0.091	AAVSO
2452318.708	1651	-0.0342	0.0072	Berdnikov2008
2452732.443	1710	-0.0533	0.0683	ASAS
2453055.1	1756	0.0163	0.0409	ASAS
2453076.083	1759	-0.0398	0.0202	Berdnikov2008
2453405.642	1806	-0.0806	0.0581	ASAS
2453770.354	1858	-0.033	0.02	ASAS
2454135.043	1910	-0.0086	0.0569	ASAS
2454282.186	1931	-0.1342	0.1169	AAVSO
2454506.737	1963	0.0076	0.0416	ASAS
2454626.015	1980	0.0687	0.447	AAVSO
2454878.46	2016	0.0539	0.0796	ASAS
2454983.637	2031	0.0391	0.1327	AAVSO
2455278.043	2073	-0.0914	0.1059	AAVSO
2455628.725	2123	-0.0486	0.0441	AAVSO
2456014.405	2178	-0.0706	0.0431	KWS
2456014.488	2178	0.0121	0.0994	AAVSO
2456315.992	2221	-0.0331	0.0731	AAVSO
2456379.082	2230	-0.0581	0.0276	KWS
2456687.672	2274	-0.0307	0.0811	AAVSO
2456750.82	2283	0.0022	0.03	KWS
2457059.306	2327	-0.0737	0.0876	AAVSO
2457136.418	2338	-0.102	0.0373	KWS
2457424.035	2379	-0.0096	0.0662	AAVSO
2457459.111	2384	0.003	0.0269	KWS
2457802.744	2433	0.0098	0.057	AAVSO
2457816.722	2435	-0.0379	0.0233	KWS
2457830.673	2437	-0.1126	0.0236	ASAS-SN
2458146.357	2482	-0.0037	0.0641	AAVSO
2458153.302	2483	-0.0706	0.0295	ASAS-SN
2458202.394	2490	-0.0688	0.0183	KWS
2458560.161	2541	0.0472	0.0567	KWS
